Datum;Tijd;Maanfase;Hoogwater/laagwater;Meting
17/08/2020; 16:24; ; HW; 89.0 cm;
17/08/2020; 12:12; ; LW; 16.0 cm;
17/08/2020; 03:55; ; HW; 90.0 cm;
16/08/2020; 23:55; ; LW; 14.0 cm;
16/08/2020; 15:37; ; HW; 84.0 cm;
16/08/2020; 11:16; ; LW; 15.0 cm;
16/08/2020; 03:09; ; HW; 83.0 cm;
15/08/2020; 22:34; ; LW; 17.0 cm;
15/08/2020; 14:44; ; HW; 79.0 cm;
15/08/2020; 09:48; ; LW; 13.0 cm;
15/08/2020; 01:54; ; HW; 78.0 cm;
14/08/2020; 20:51; ; LW; 16.0 cm;
14/08/2020; 13:28; ; HW; 76.0 cm;
14/08/2020; 08:54; ; LW; 11.0 cm;
14/08/2020; 00:35; ; HW; 77.0 cm;
13/08/2020; 19:50; ; LW; 16.0 cm;
13/08/2020; 12:10; ; HW; 79.0 cm;
13/08/2020; 07:59; ; LW; 10.0 cm;
12/08/2020; 23:25; ; HW; 80.0 cm;
12/08/2020; 18:56; ; LW; 17.0 cm;
12/08/2020; 11:10; ; HW; 83.0 cm;
12/08/2020; 07:20; ; LW; 9.0 cm;
11/08/2020; 22:34; Laatste Kwartier 19:45; HW; 85.0 cm;
11/08/2020; 18:23; ; LW; 19.0 cm;
11/08/2020; 10:30; ; HW; 86.0 cm;
11/08/2020; 06:40; ; LW; 8.0 cm;
10/08/2020; 21:45; ; HW; 88.0 cm;
10/08/2020; 18:30; ; LW; 21.0 cm;
10/08/2020; 09:34; ; HW; 90.0 cm;
10/08/2020; 06:08; ; LW; 7.0 cm;
09/08/2020; 21:04; ; HW; 91.0 cm;
09/08/2020; 18:00; ; LW; 21.0 cm;
09/08/2020; 09:05; ; HW; 94.0 cm;
09/08/2020; 05:34; ; LW; 6.0 cm;
08/08/2020; 20:24; ; HW; 92.0 cm;
08/08/2020; 17:22; ; LW; 21.0 cm;
08/08/2020; 08:16; ; HW; 97.0 cm;
08/08/2020; 05:04; ; LW; 6.0 cm;
07/08/2020; 19:54; ; HW; 93.0 cm;
07/08/2020; 16:59; ; LW; 22.0 cm;
07/08/2020; 07:36; ; HW; 99.0 cm;
07/08/2020; 04:41; ; LW; 8.0 cm;
06/08/2020; 19:19; ; HW; 92.0 cm;
06/08/2020; 16:41; ; LW; 22.0 cm;
06/08/2020; 07:04; ; HW; 99.0 cm;
06/08/2020; 04:15; ; LW; 9.0 cm;
05/08/2020; 19:07; ; HW; 92.0 cm;
05/08/2020; 16:15; ; LW; 20.0 cm;
05/08/2020; 06:23; ; HW; 97.0 cm;
05/08/2020; 03:36; ; LW; 10.0 cm;
04/08/2020; 18:45; ; HW; 92.0 cm;
04/08/2020; 15:31; ; LW; 16.0 cm;
04/08/2020; 06:34; ; HW; 97.0 cm;
04/08/2020; 02:55; ; LW; 10.0 cm;
03/08/2020; 18:05; Volle Maan 18:59; HW; 91.0 cm;
03/08/2020; 14:46; ; LW; 14.0 cm;
03/08/2020; 05:51; ; HW; 95.0 cm;
03/08/2020; 01:59; ; LW; 12.0 cm;
02/08/2020; 17:20; ; HW; 88.0 cm;
02/08/2020; 13:41; ; LW; 13.0 cm;
02/08/2020; 04:18; ; HW; 90.0 cm;
02/08/2020; 00:20; ; LW; 12.0 cm;
01/08/2020; 15:54; ; HW; 86.0 cm;
01/08/2020; 12:00; ; LW; 11.0 cm;
01/08/2020; 03:04; ; HW; 86.0 cm;
31/07/2020; 23:19; ; LW; 14.0 cm;
31/07/2020; 14:44; ; HW; 84.0 cm;
31/07/2020; 10:52; ; LW; 9.0 cm;
31/07/2020; 02:05; ; HW; 84.0 cm;
30/07/2020; 22:18; ; LW; 17.0 cm;
30/07/2020; 13:34; ; HW; 84.0 cm;
30/07/2020; 09:38; ; LW; 7.0 cm;
30/07/2020; 00:55; ; HW; 84.0 cm;
29/07/2020; 21:13; ; LW; 18.0 cm;
29/07/2020; 12:24; ; HW; 87.0 cm;
29/07/2020; 08:48; ; LW; 5.0 cm;
29/07/2020; 00:00; ; HW; 84.0 cm;
28/07/2020; 19:01; ; LW; 19.0 cm;
28/07/2020; 11:14; ; HW; 90.0 cm;
28/07/2020; 07:56; ; LW; 3.0 cm;
27/07/2020; 22:55; Eerste Kwartier 15:33; HW; 85.0 cm;
27/07/2020; 17:55; ; LW; 19.0 cm;
27/07/2020; 10:17; ; HW; 92.0 cm;
27/07/2020; 07:11; ; LW; 3.0 cm;
26/07/2020; 21:36; ; HW; 85.0 cm;
26/07/2020; 17:12; ; LW; 19.0 cm;
26/07/2020; 09:09; ; HW; 95.0 cm;
26/07/2020; 06:19; ; LW; 5.0 cm;
25/07/2020; 20:49; ; HW; 87.0 cm;
25/07/2020; 16:42; ; LW; 20.0 cm;
25/07/2020; 08:14; ; HW; 97.0 cm;
25/07/2020; 04:12; ; LW; 7.0 cm;
24/07/2020; 19:59; ; HW; 89.0 cm;
24/07/2020; 17:36; ; LW; 20.0 cm;
24/07/2020; 07:34; ; HW; 99.0 cm;
24/07/2020; 03:37; ; LW; 9.0 cm;
23/07/2020; 19:15; ; HW; 91.0 cm;
23/07/2020; 16:58; ; LW; 21.0 cm;
23/07/2020; 06:54; ; HW; 99.0 cm;
23/07/2020; 03:07; ; LW; 11.0 cm;
22/07/2020; 18:35; ; HW; 93.0 cm;
22/07/2020; 16:08; ; LW; 21.0 cm;
22/07/2020; 06:14; ; HW; 99.0 cm;
22/07/2020; 02:27; ; LW; 12.0 cm;
21/07/2020; 17:59; ; HW; 94.0 cm;
21/07/2020; 14:14; ; LW; 19.0 cm;
21/07/2020; 05:35; ; HW; 97.0 cm;
21/07/2020; 01:50; Nieuwe Maan 20:33; LW; 12.0 cm;
20/07/2020; 17:15; ; HW; 93.0 cm;
20/07/2020; 13:37; ; LW; 16.0 cm;
20/07/2020; 04:59; ; HW; 94.0 cm;
20/07/2020; 01:14; ; LW; 11.0 cm;
19/07/2020; 16:36; ; HW; 91.0 cm;
